Cumulative Confirmed Cases,Total New Confirmed Cases,Cumulative Deaths,Total New Deaths,Classification of Transmission,Days Since Previous Reported Case,Country/Region,Date,Retrieved,Report Number
China,82930,55,3338,3,Local transmission,5,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Republic of Korea,10237,81,183,6,Local transmission,6,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Australia,5635,181,34,6,Local transmission,7,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Malaysia,3483,150,57,4,Local transmission,8,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Japan,3271,351,70,1,Local transmission,9,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Philippines,3094,76,144,8,Local transmission,10,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Singapore,1189,75,5,0,Local transmission,11,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
New Zealand,872,48,1,0,Local transmission,12,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Viet Nam,240,1,0,0,Local transmission,13,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Brunei Darussalam,135,1,1,0,Local transmission,14,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Cambodia,114,0,0,0,Local transmission,15,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Mongolia,14,0,0,0,Imported cases only,16,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Fiji,12,5,0,0,Local transmission,17,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Lao People's,10,0,0,0,Local transmission,18,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Papua New Guinea,1,0,0,0,Imported cases only,20,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Guam,93,9,4,1,Local transmission,22,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
French Polynesia,40,1,0,0,Local transmission,23,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
New Caledonia,18,0,0,0,Local transmission,24,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Northern Mariana,8,0,1,0,Local transmission,25,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Spain,124736,7026,11744,809,Local transmission,30,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
Italy,124632,4805,15362,681,Local transmission,31,05/04/2020,2020-04-06 13:05:28.449698+10:00,76.0
