Country/Region,Cumulative Confirmed Cases,Total New Confirmed Cases,Cumulative Deaths,Total New Deaths,Classification of Transmission,Date,Retrieved,Report Number
Territory/Area  †,confirmed,confirmed,deaths,new,classification§,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
China,83005,75,3340,2,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Republic of Korea,10284,47,186,3,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Australia,5744,109,36,2,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Malaysia,3662,179,61,4,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Japan,3654,383,73,3,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Philippines,3246,152,152,8,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Singapore,1309,120,6,1,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
New Zealand,911,39,1,0,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Viet Nam,241,1,0,0,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Brunei Darussalam,135,0,1,0,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Cambodia,114,0,0,0,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Mongolia,14,0,0,0,Imported cases only,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Fiji,12,0,0,0,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Lao People's,11,1,0,0,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Papua New Guinea,1,0,0,0,Imported cases only,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Guam,112,19,4,0,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
French Polynesia,41,1,0,0,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
New Caledonia,18,0,0,0,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Northern Mariana,8,0,1,0,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Spain,130759,6023,12418,674,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Italy,128948,4316,15889,527,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Germany,95391,3677,1434,92,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
France,69607,1850,8064,518,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
The United Kingdom,47810,5903,4934,621,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Turkey,27069,3135,574,73,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Switzerland,21065,576,715,49,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Belgium,19691,1260,1447,164,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Netherlands,17851,1224,1766,115,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Austria,11983,217,204,18,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
